date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:45	211/211	---M--	200	added ('OK')	image/png	etag:%2252ea5a40-d3%22	http://dingleberry.me/wp-content/uploads/shadowbox-js/src/play.png	./dingleberry/dingleberry.me/wp-content/uploads/shadowbox-js/src/play.png	(from http://dingleberry.me/wp-content/uploads/shadowbox-js/src/shadowbox.css?ver=3.0.3)
11:22:45	34462/34462	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:05%20GMT	http://dingleberry.me/2011/02/use-screen-instead-of-%c2%a4%c2%a4-minicom/	./dingleberry/dingleberry.me/2011/02/use-screen-instead-of-%c2%a4%c2%a4-minicom/index.html	(from http://dingleberry.me/)
11:22:45	20028/20028	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:07%20GMT	http://dingleberry.me/tag/screen/	./dingleberry/dingleberry.me/tag/screen/index.html	(from http://dingleberry.me/)
11:22:45	20028/20028	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:07%20GMT	http://dingleberry.me/tag/serial/	./dingleberry/dingleberry.me/tag/serial/index.html	(from http://dingleberry.me/)
11:22:46	36644/36644	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:07%20GMT	http://dingleberry.me/2011/02/test-your-jumbo-frame-enabled-network-with-ping/	./dingleberry/dingleberry.me/2011/02/test-your-jumbo-frame-enabled-network-with-ping/index.html	(from http://dingleberry.me/)
11:22:46	155/155	---M--	200	added ('OK')	image/png	etag:%2252ea5a40-9b%22	http://dingleberry.me/wp-content/uploads/shadowbox-js/src/pause.png	./dingleberry/dingleberry.me/wp-content/uploads/shadowbox-js/src/pause.png	(from http://dingleberry.me/wp-content/uploads/shadowbox-js/src/shadowbox.css?ver=3.0.3)
11:22:47	20772/20772	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:09%20GMT	http://dingleberry.me/tag/frame/	./dingleberry/dingleberry.me/tag/frame/index.html	(from http://dingleberry.me/)
11:22:48	20792/20792	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:09%20GMT	http://dingleberry.me/tag/jumboframe/	./dingleberry/dingleberry.me/tag/jumboframe/index.html	(from http://dingleberry.me/)
11:22:49	20772/20772	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:09%20GMT	http://dingleberry.me/tag/jumbo/	./dingleberry/dingleberry.me/tag/jumbo/index.html	(from http://dingleberry.me/)
11:22:49	20912/20912	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:09%20GMT	http://dingleberry.me/tag/jumboframe-jumbo-frame-network-ping-test/	./dingleberry/dingleberry.me/tag/jumboframe-jumbo-frame-network-ping-test/index.html	(from http://dingleberry.me/)
